시점,계,농작물수입,미곡,맥류,잡곡,두류,서류,채소,특작,과수,화훼,기타,부산물,축산수입,축산물,대소동물,기타
1980,"2,342","2,019","1,140",120,16,59,44,379,102,121,-,10,28,323,254,58,11
1985,"5,477","4,524","2,628",125,29,92,69,950,225,347,13,11,36,953,148,802,3
1990,"9,078","7,470","4,380",168,48,161,91,"1,448",387,712,15,52,7,"1,608",276,"1,329",3
1995,"16,012","12,013","5,450",200,59,175,163,"3,386",805,"1,542",112,73,48,"3,999",420,"3,569",10
2000,"19,514","16,943","7,758",174,78,225,353,"4,765",837,"2,443",225,78,7,"2,571",480,"2,087",4
2006,"27,322","20,067","7,578",167,129,452,420,"6,758","2,915",226,"1,282",140,"6,403","2,197","4,194",12,853
2007,"26,102","20,307","7,296",190,135,424,591,"6,817","3,192",418,"1,131",113,"5,145","1,782","3,350",12,651
2008,"25,843","19,942","7,364",181,91,515,414,"5,755","3,398",416,"1,676",131,"5,336","1,003","4,331",2,566
2009,"26,621","19,393","6,522",189,108,600,420,"6,198","3,355",324,"1,555",123,"6,972","1,643","5,269",60,257
2010,"27,221","20,318","5,368",118,125,740,480,"7,251","4,147",415,"1,525",150,"5,892","1,217","4,647",27,"1,011"
2011,"26,457","21,275","6,254",138,136,716,504,"7,675","3,762",409,"1,429",253,"4,335","1,719","2,584",32,847
2012,"27,589","21,942","6,243",121,154,800,604,"8,427","3,683",264,"1,445",202,"5,099","1,250","3,804",45,548
2013,"30,648","23,155","6,315",49,214,817,670,"8,094","4,519",451,"1,846",181,"7,397","3,327","4,045",26,96
2014,"32,179","22,942","6,373",107,246,698,523,"7,871","4,607",587,"1,749",181,"9,071","3,174","5,891",6,165
2015,"33,654","22,760","6,393",101,242,497,676,"8,138","4,346",437,"1,771",159,"10,530","3,669","6,833",27,365
2016,"31,279","21,357","5,070",102,176,446,582,"8,411","4,329",434,"1,730",78,"9,222","3,091","6,123",8,699
2017,"30,580","21,069","5,426",137,166,474,615,"7,994","4,141",376,"1,596",144,"8,029","2,516","5,503",9,"1,482"
2018,"35,757","24,708","6,756",127,215,554,790,"9,174","4,626",536,"1,805",124,"10,027","4,316","5,673",39,"1,022"
2019,"34,436","23,299","6,630",143,210,624,753,"8,426","4,052",403,"1,938",120,"10,478","4,689","5,768",21,659
2020,"36,033","24,534","6,673",95,205,549,602,"9,263","4,735",536,"1,725",151,"10,434","4,346","6,072",17,"1,064"
