행정구역별,토마토(일반):농가 (가구),면적 (ha),토마토(방울):농가 (가구),면적 (ha),딸기:농가 (가구),면적 (ha),참외:농가 (가구),면적 (ha),파프리카:농가 (가구),면적 (ha)
전국,4290,1581,3827,1648,8247,3985,4505,3131,720,488
동부,1448,498,1095,346,885,382,365,116,95,45
읍부,723,277,790,381,1653,782,1052,768,194,136
면부,2119,806,1942,921,5709,2821,3088,2247,431,307
서울특별시,37,3,27,4,7,2,5,0,3,0
부산광역시,398,274,36,9,34,11,4,1,6,1
대구광역시,106,42,31,5,26,12,426,255,4,1
인천광역시,100,13,82,16,14,3,15,0,3,0
광주광역시,74,24,177,69,78,37,1,0,20,7
대전광역시,41,7,46,11,37,11,4,0,1,0
울산광역시,46,5,22,1,31,16,2,0,1,0
세종특별자치시,17,9,14,3,77,38,3,0,5,0
경기도,671,102,574,111,235,86,207,37,35,9
강원도,963,428,464,210,92,30,13,1,331,226
충청북도,115,31,298,195,150,70,23,2,13,6
충청남도,187,70,745,459,1963,935,26,1,24,6
전라북도,284,112,316,167,679,321,19,3,39,40
전라남도,273,85,606,253,1181,471,20,6,31,23
경상북도,510,182,122,41,638,286,3661,2796,20,8
경상남도,435,182,222,79,2941,1637,75,30,182,159
제주특별자치도,33,14,45,14,64,18,1,0,2,2
