정착자금사용처별(1),정착자금사용처별(2),2020
귀농시 사용한 정착자금,사례수 (명),2038
귀농시 사용한 정착자금,평균 (만원),17725
귀농 정착자금 주 마련 방법,사례수 (명),2038
귀농 정착자금 주 마련 방법,퇴직금 (%),9.5
귀농 정착자금 주 마련 방법,본인 및 배우자의 저축액 (%),50.9
귀농 정착자금 주 마련 방법,자산처분 (%),25.6
귀농 정착자금 주 마련 방법,상속 또는 가족의 도움 (%),4.1
귀농 정착자금 주 마련 방법,금융권 대출 (%),6.1
귀농 정착자금 주 마련 방법,정부정책 지원금 (%),3.4
귀농 정착자금 주 마련 방법,기타 (%),0.2
귀농 정착자금 주 마련 방법,없음 (%),0.1
귀농 정착자금 주 마련 방법,모름/무응답 (%),-
귀농 정착자금 사용처 비중 - 1순위,사례수 (명),2038
귀농 정착자금 사용처 비중 - 1순위,농지 구입 및 임대 (%),30.7
귀농 정착자금 사용처 비중 - 1순위,주택마련 (%),36.1
귀농 정착자금 사용처 비중 - 1순위,영농시설 자재구입 (%),11.6
귀농 정착자금 사용처 비중 - 1순위,농작물 재배 및 가축사육 (%),4.5
귀농 정착자금 사용처 비중 - 1순위,생활비 (%),16.7
귀농 정착자금 사용처 비중 - 1순위,기타 (%),0.5
귀농 정착자금 사용처 비중 - 1순위,없음 (%),-
귀농 정착자금 사용처 비중 - 1+2순위,사례수 (명),2038
귀농 정착자금 사용처 비중 - 1+2순위,농지 구입 및 임대 (%),53.3
귀농 정착자금 사용처 비중 - 1+2순위,주택마련 (%),56
귀농 정착자금 사용처 비중 - 1+2순위,영농시설 자재구입 (%),22.8
귀농 정착자금 사용처 비중 - 1+2순위,농작물 재배 및 가축사육 (%),21.5
귀농 정착자금 사용처 비중 - 1+2순위,생활비 (%),39.6
귀농 정착자금 사용처 비중 - 1+2순위,기타 (%),0.9
귀농 정착자금 사용처 비중 - 1+2순위,없음 (%),-
