"산업별대출금 총대출금별",2013,2014,2015,2016,2017,2018,2019,2020
"산업별대출금",827806.9,882863.5,943349.3,985510.4,1051546.7,1121295.9,1207791.3,1393643.9
"농업, 임업 및 어업",36647.8,36979.7,38152.1,35772.9,37782.0,40389.3,44456.0,47955.5
"광업",1578.5,1490.4,1576.4,1538.1,1085.5,1067.6,1262.6,1303.2
"제조업",286115.4,308190.4,324381.6,324278.0,337520.4,344772.7,357140.0,392842.1
"식료품 및 음료",16640.6,17293.9,18564.0,19933.9,21868.0,23501.9,25699.6,28437.7
"담배",13.5,21.3,28.3,172.9,166.6,599.8,171.7,46.3
"섬유제품",8621.6,9546.3,10091.8,10294.3,10471.2,10625.9,10556.1,11492.9
"의복, 의복액세서리 및 모피제품",7553.3,7530.7,7548.7,7395.8,7366.0,6994.7,7158.9,7933.6
"가죽, 가방 및 신발",1955.9,1971.3,2010.1,2027.1,2032.7,2097.3,2113.3,2351.1
"목재 및 나무제품",2475.0,2776.5,3093.2,3248.1,3457.1,3527.3,3675.6,3850.6
"펄프, 종이 및 종이제품",5804.8,6371.9,6503.9,6779.6,7096.3,7128.0,6820.4,7373.3
"인쇄 및 기록매체",3458.9,3562.0,3697.9,3923.7,4119.6,4323.1,4650.7,4963.2
"코크스, 연탄 및 석유정제품",2078.3,2017.0,1889.8,2209.1,2439.8,2751.9,2831.7,3408.1
"화학제품 및 의료용 제품",25647.7,27745.0,29630.6,28483.8,28958.7,30137.5,30641.3,35082.5
"고무제품 및 플라스틱 제품",15445.8,17220.3,18694.9,19475.2,20590.7,21898.0,22402.2,23857.1
"비금속광물제품",10310.7,10189.3,10575.0,10197.9,10840.2,11580.0,11814.5,12442.3
"제1차 금속",26369.6,28281.8,27559.6,26583.5,26738.2,25743.4,25398.1,26059.2
"금속가공제품",25667.7,28163.8,30671.4,31119.2,32640.3,33342.2,34464.0,36635.5
"전자부품, 컴퓨터, 영상, 음향 및 통신장비",23286.2,23724.3,22859.4,22191.4,22552.7,23214.3,23582.9,25590.2
"의료, 정밀, 광학기기 및 시계",4952.6,5596.7,6063.2,6411.7,7020.9,7575.5,8246.8,9412.7
"전기장비",12387.2,13469.7,14004.2,14076.9,15004.6,15664.8,16728.4,17680.8
"기타 기계 및 장비",37462.2,40919.8,43512.6,44176.8,46821.4,47845.0,49272.6,55060.6
"자동차 및 트레일러",25500.0,28702.6,31076.8,31657.6,33228.1,32351.6,32314.0,36034.6
"기타 운송장비",20338.4,22140.2,24251.5,20640.4,18313.6,14695.3,14611.8,15524.0
"가구제조 및 기타제품",10145.2,10945.9,12054.6,13279.3,15245.9,18421.4,23149.7,28684.8
"산업용 기계 및 장비 수리업",-,-,-,-,547.7,754.0,835.8,920.9
"전기, 가스, 증기 및 공기조절 공급업",7913.9,8890.1,10290.5,10875.1,11242.6,12432.1,13010.1,15099.6
"수도ㆍ하수 및 폐기물 처리, 원료재생업",6101.6,6316.3,6293.4,6265.5,6213.4,6451.9,7338.9,8376.7
"건설업",43230.3,39077.3,38325.2,37660.4,39395.6,39176.5,42652.2,47310.3
"도매 및 소매업",104003.3,109240.8,115456.7,122415.0,130537.4,144542.4,165054.2,197961.4
"운수 및 창고업",25182.9,25220.7,25226.6,25333.5,26685.2,28413.3,28655.1,35646.6
"숙박 및 음식점업",32754.2,36710.3,41270.9,45801.2,50363.7,55630.0,61707.7,74876.3
"정보통신업, 예술, 스포츠, 여가 관련",26049.1,26148.0,24732.9,25777.2,27070.9,28164.5,31255.6,38591.6
"금융 및 보험업",64429.8,64040.2,65545.5,70222.7,70805.4,68659.9,71607.1,90036.9
"부동산업",110242.4,127060.8,149965.6,171325.5,201151.6,231859.9,255463.9,288368.7
"전문, 과학 및 기술 서비스업",11609.1,12753.7,13745.7,14635.3,12961.5,15874.7,17328.5,21520.5
"사업시설관리, 사업지원 및 임대서비스업",7226.0,8562.8,8598.3,8975.0,9242.6,9736.8,10340.1,13098.5
"교육서비스업",5815.2,6124.0,6610.3,7143.0,7812.5,8337.2,8840.6,11138.0
"보건 및 사회복지서비스업",18708.0,20206.7,22382.9,23843.2,25798.4,28207.5,30632.8,36296.7
"공공행정 등 기타서비스",40199.2,45851.4,50794.7,53648.6,55878.0,57579.5,61046.0,73221.2
